Inspection ID,Opening date,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Type,Inspection Date,Results,Violations
2078801,2011/06/12,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,Restaurant,Risk 1 (High),8125 S HALSTED ST,",IL,60620",Complaint,08/22/2017,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: TWO DOOR REACH-IN COOLER NOT MAINTAINING PROPER TEMPERATURE 58.8F. INSTRUCTED MANAGER TO REPAIR REACH-IN COOLER MUST MAINTAIN 40F OR BELOW. REACH-IN COOLER IS TAGGED HELD FOR INSPECTION AND MUST NOT BE USED UNTIL REINSPECTED BY CHICAGO DEPARTMENT OF HEALTH. CRITICAL VIOLATION 7-38-005A | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED THE FOLLOWING POTENTIALLY HAZARDOUS FOODS STORED IN REACH-IN COOLER AT IMPROPER TEMPERATURE, COOKED PASTA 61.6F, COOKED RICE 73F, RAW FISH 60.7F, POOLED EGGS 56.3F-73.8F, RAW SHELL EGGS 57.4F, RAW GROUND TURKEY 53.2F, RAW CHICKEN 54.9F, RAW GROUND BEEF 52.2F, RAW STEAK 51.1F-52.3F, HAM 55.2F, SALMON CROQUETTE 55.3F, RAW SHRIMP 55.7F, CRAB MEAT 56.6F, RAW SAUSAGE 56.3F. INSTRUCTED MANAGER TO DISCARD ALL ITEMS APPROXIMATELY 200LBS AND $400 OF FOOD. CRITICAL VIOLATION 7-38-005A | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED OVER 30 RAT DROPPINGS SCATTERED ON FLOOR IN BASEMENT, OVER 20 MICE DROPPINGS SCATTERED ON SHELVES UNDER COUNTER IN DINING AREA, SEVERAL FLYING INSECTS NEAR REAR DOOR IN KITCHEN. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. SERIOUS VIOLATION 7-38-020 | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS NOT CORRECTED FROM REPORT #1989593 ON 2-23-17: 35-REMOVE PEELING PAINT AND REPAINT SOME AREAS OF WALLS IN DINING ROOM. CLEAN AND/OR PAINT WALLS AND DOORS IN FOOD PREP AND REAR STORAGE AREAS.45-ALL EMPLOYEES CLASSIFIED AS FOOD HANDLERS THAT ARE NOT CERTIFIED SERVIC MANAGERS MUST MEET IDPH FOOD HANDLER REQUIREMENTS. SERIOUS VIOLATION 7-42-090 | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPAIR/REPLACE DAMAGED GASKET ON REAR TWO-DOOR REACH-IN COOLER. REMOVE RUSTY SURFACES ON BOTTOM OF PREP TABLES. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: LABEL ALL BULK CONTAINERS IN PREP AREA. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS ALONG WALLS AND IN ALL CORNERS IN PREP, STORAGE AND BASEMENT AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: SEAL ALL OPENINGS IN WALLS ALONG BASEBOARDS IN DINING AREA, ALONG STAIRWAY LEADING TO BASEMENT AND IN SOUTHEAST CORNER BEHIND REFRIGERATOR IN REAR AREA BEHIND WASHROOM. REPLACE MISSING LIGHT SWITCH COVER IN PREP AREA NEAR ALARM SYSTEM. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: INVERT ALL CARRYOUT CONTAINERS TO PROTECT FROM DUST, DIRT, CONTAMINATION. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ALL COOKING EQUIPMENT, PREP TABLES, HOLDING UNITS, COOLERS, FREEZERS, SHELVES UNDER COUNTER IN DINING AREA. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPAIR LEAKING DRAINPIPE UNDER PREP SINK IN KITCHEN. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: PROVIDE THERMOMETERS IN ALL COOLERS AND METAL STEM THERMOMETERS FOR INTERNAL TEMPERATURES. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: STORE MOP HEAD UPRIGHT TO PREVENT INSECT BREEDING."
2078380,2011/07/01,THE GODDESS GOLD COAST,THE GODDESS AND GROCER,2397687,Restaurant,Risk 1 (HIGH),1127 N STATE ST,"CCHICAGO,IL,60610",Complaint,08/14/2017,Pass w/ Conditions,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: FACILITY NOT MAINTAINING PROPER COOLING TEMPERATURE, FOUND PREP COOLER AT 48.8F, COOLER IS USED TO HOLD PERISHABLES, INSTRUCTED TO KEEP ALL COOLERS TEMPERATURE AT 40F OR LOWER. CRITICAL CITATION ISSUED 7-38-005(A). COOLER IS TAGGED NOT ALLOWED TO USE, MUST CONTACT THE OFFICE OF CDPH WHEN REPAIRED. | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: POTENTIALLY HAZARDOUS FOODS STORED AT IMPROPER TEMPERATURE, FOUND 5 LBS OF COOKED CHICKEN AT 50.3F, 1 LB OF LIQUID EGGS AT 48.5F, 4 LBS OF TUNA SALAD AT 49.4, ALL FOODS STORED IN SAID COOLER. INSTRUCTED MGR TO KEEP SUCH FOODS AT 40 OR LOWER. CRITICAL CITATION ISSUED 7-38-005(A) FOOD DISCARDED VALUED AT $50. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: BULK FOOD CONTAINERS AND CLEANING SPRAY BOTTLES NOT LABELED, INSTRUCTED TO LABEL AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: HEAVY DUST BUILD UP NOTED ON WALL VENT ABOVE PREP TABLE, INSTRUCTED TO KEEP CLEAN."
2015423,2013/08/30,HAROLD'S CHICKEN 57 LLC.,HAROLD'S CHICKEN,2363519,Restaurant,Risk 1 (High),6606 W NORTH AVE,"Chicago,IL,60707",Complaint,07/31/2017,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Prep table that had rust, peeling paint(lower shelving)shall be repaired/replaced.
 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Walk in cooler shelving/racks not clean, need detailed cleaning(crevices).
Prep tables lower shelving not clean, need detailed cleaning. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Wall by front counter area had food splattering not clean, need detailed cleaning.
Gap on wall in prep area shall be repaired/sealed."
2071437,2011/07/25,CHINA CAFE,CHINA CAFE,2535883,Restaurant,Risk 1 (High),2300-2302 S WENTWORTH AVE BLDG,",IL,60616",License,07/26/2017,Pass,
2071348,2007/11/17,MARKET SELECT,MARKET SELECT,2523569,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE,",IL,60622",Lisence,07/25/2017,Pass,37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: MUST PROVIDE A SELF CLOSING LATCH FOR THE EMPLOYEE BATHROOM DOOR.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CURRENTLY THERE IS NO MOP SINK ON PREMISES. INSTRUCTED TO INSTALL A MOP SINK ON PREMISES WITH HOT AND COLD RUNNING WATER.
2071351,2016/03/04,MARKET SELECT,MARKET SELECT,2523571,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE,",IL,60622",License,07/25/2017,Pass,
2070149,"11 February, 2008",KATANA (刀),KATANA,2528614,Restaurant,Risk 3 (Low),339 N DEARBORN ST,"CHICAGOCHICAGO,IL,60654",Lisence,07/20/2017,Pass,
2070147,2009/07/03,KATANA (刀),KATANA,2528612,Restaurant,Risk 3 (Low),339 N DEARBORN ST,"CHICAGOCHICAGO,IL,60654",License,07/20/2017,Pass,
2070140,2012/08/24,KATANA (刀),KATANA,2528611,Restaurant,Risk 1 (High),339 N DEARBORN ST,"CHICAGOCHICAGO,IL,60654",License,07/20/2017,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED WALLS BEHIND SUSHI PREP AREA THAT ARE POROUS AND NOT SMOOTH AND EASILY CLENABALE. MUST SEAL WALLS SO THAT THEY ARE NON POROUS AND CAN BE EASILY CLEANED AND SANITIZED. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED WALLS OF 1ST FLOOR AND 2ND FLOOR WASHROOMS ARE NOT SMOOTH AND EASILY CLEANABLE. SURFACES ARE POROUS. ALL WALLS NEED TO BE SEALED SO THAT THEY ARE NON POROUS, SMOOTH AND EASILY CLEANABLE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOORS AROUND MAIN BAR IN FRONT HOSTESS AREA NOT SMOOTH AND EASILY CLEANABLE. MUST SEAL FLOORS. OBSERVED HARDWOOD FLOORS OF MAIN DINING ROOM POUROUS AND NOT SMOOTH AND EASILY CLEANABLE. MUST SEAL ALL FLOORS. OBSERVED FLOORS IN 1ST AND 2ND FLOOR WASHROOMS POROUS AND NOT SMOOTH AND EASILY CLEANABLE MUST SEAL ALL FLOORS."
2064921,2015/01/04,CHICAGO PIZZA BOSS,CHICAGO PIZZA BOSS,2240789,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT,"SCHAUMBURG,IL,60193",Canvass,06/24/2017,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: ALL SINKS NOT CLEAN, FOOD DEBRIS NOTED, INSTRUCTED TO CLEAN AND MAINTAIN. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: FOOD HANDLERS NOT WEARING HAIR RESTRAINT, ALSO NO BEARD RESTRAINT, INSTRUCTED TO WEAR."
